ObjectID,GlobalID,Date and time gull tagged,Site,Lead tagger,Assistants,Species,Band,Code,Background colour,Code colour,GPS ID,Nest ID,Nest longitude,Nest latitude,Clutch size,Nest treatment,Head,Culmen,Bill Depth,Wing,Tarsus,Weight,Bag Weight,Bird Mass,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Notes,CreationDate,Creator,EditDate,Editor,Nest relative to colony,Clutch Status,GSM ID,Clutch size 18 May,Clutch size 13 May,Clutch size on 10-May,Clutch size 23-May,Bird Weight,x,y
20,54a6758e-fcaf-476c-b4de-02d85b257eab,5/18/2022 10:01:06 PM,1,3,2,1,1176-61817,EME,pink,white,LAR13,FOUNDATIONS ,,,3,,124,53.3,19.7,425,68.5,1010,,1010,0,0,0,0,0,0,0,0,0,0,Had 1 egg before,5/19/2022 7:52:35 PM,douglas.hynes@canada.ca,5/19/2022 7:52:35 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
21,32a4577e-fca8-483d-b592-c0fe541314f5,5/18/2022 10:21:00 PM,1,1,2,1,1176-61818,EMP,pink,white,LAR9,0021,,,3,,118.4,53.7,19.1,418,63.3,950,,950,1,0,0,0,0,0,0,0,0,0,Foundation 2 - maybe #21,5/19/2022 7:52:40 PM,douglas.hynes@canada.ca,5/19/2022 7:52:40 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
22,8109b8fb-5feb-4107-acce-b0ffa8a85f3c,5/23/2023 6:07:00 PM,1,3,4,1,117661821,FAZ,pink,white,,E2,,,,,128.9,59,21.2,435,72.8,,,,0,5,5,5,5,5,5,5,5,5,,5/23/2023 7:12:54 PM,douglas.hynes@canada.ca,5/23/2023 7:12:54 PM,douglas.hynes@canada.ca,,,6,,,,,1120,-61.54372353,45.1018448
23,62a259ad-c0b3-4525-b764-4e4754c3647a,5/23/2023 6:42:00 PM,1,7,7,1,117661824,FAR,pink,white,,E5,,,,,121.7,52.5,20.1,435,63.4,,,,0,1,5,5,5,5,5,5,5,5,,5/23/2023 7:13:10 PM,douglas.hynes@canada.ca,5/23/2023 7:13:10 PM,douglas.hynes@canada.ca,,,2,,,,,960,-61.54371039,45.10185627
24,7376496a-6d94-489b-b57f-a52f8356baa7,5/23/2023 6:58:09 PM,1,3,3,1,117661826,FAF,pink,white,,E8,,,,,133.8,60.5,22.4,452,72.7,,,,0,0,5,5,5,5,5,5,5,5,,5/23/2023 7:13:32 PM,douglas.hynes@canada.ca,5/23/2023 7:13:32 PM,douglas.hynes@canada.ca,,,14,,,,,1320,-61.54371045,45.10184323
25,761c68f7-8d6b-45ce-949f-c1c798ac0564,5/23/2023 6:02:00 PM,1,1,"3,5",1,117661820,FAX,pink,white,,E1,-61.542249,45.101282,,,130,59.7,20.1,432,72.9,,,,0,1,5,5,5,5,5,5,5,5,,5/23/2023 7:15:47 PM,douglas.hynes@canada.ca,5/24/2023 12:19:27 PM,douglas.hynes@canada.ca,1,1,11,,,1,3,1120,-61.5436816666667,45.1018483333333
26,4ae065b3-fa1e-41e5-a561-06c015cb1d97,5/23/2023 6:22:00 PM,1,1,"7,5",1,117661822,FAU,pink,white,,E3,-61.542307,45.101195,,,136.6,66.6,21.7,451,78.8,,,,3,3,2,5,5,5,5,5,5,5,,5/23/2023 7:17:12 PM,douglas.hynes@canada.ca,5/24/2023 12:19:29 PM,douglas.hynes@canada.ca,1,1,10,,,2,3,1250,-61.5436816666667,45.101845
27,a9954357-901f-4518-929f-083de88103cd,5/23/2023 6:34:00 PM,1,1,"7,5",1,117661823,FAA,pink,white,,E4,-61.542251,45.101275,,,135.3,61.7,21.9,453,76,,,,2,1,5,5,5,5,5,5,5,5,,5/23/2023 7:18:39 PM,douglas.hynes@canada.ca,5/24/2023 12:19:31 PM,douglas.hynes@canada.ca,1,2,15,,,2,3,1220,-61.5436716666667,45.1018516666667
28,18b55a1f-ea08-488e-a255-64f559473459,5/23/2023 6:46:00 PM,1,1,"7,5",1,117661825,FAT,pink,white,,E6,-61.542568,45.101058,,,124.6,58,20.2,438,66,,,,2,2,5,5,5,5,5,5,5,5,,5/23/2023 7:19:23 PM,douglas.hynes@canada.ca,5/24/2023 12:19:32 PM,douglas.hynes@canada.ca,1,1,13,,,1,3,1090,-61.54367,45.1018566666667
29,97c93ba8-c882-445b-9b97-26ef5d510d2f,5/23/2023 6:57:00 PM,1,1,"7,5",1,117661801,EHK,pink,white,,E7,-61.542612,45.100994,,,121.5,55.4,18.8,435,62.9,,,,3,2,5,5,5,5,5,5,5,5,,5/23/2023 7:23:33 PM,douglas.hynes@canada.ca,5/24/2023 12:22:28 PM,douglas.hynes@canada.ca,1,2,12,,,3,3,1000,-61.5436766666667,45.1018516666667
30,336fbdc7-97c3-4a27-8d36-24e87e023141,5/23/2023 8:39:11 PM,1,5,7,1,1176-61830,FAM,pink,white,,E12,,,,,119.9,52.6,19,426,63.6,,0,,1,0,5,5,5,5,5,5,5,5,,5/23/2023 8:53:49 PM,douglas.hynes@canada.ca,5/23/2023 8:53:49 PM,douglas.hynes@canada.ca,1,2,9,,,,3,1020,0,0
31,4041797b-cc54-42b0-bad7-a28ff1cf9797,5/23/2023 7:39:00 PM,1,1,1,1,117661827,FAC,pink,white,,E9,-61.543302,45.101135,,,123.1,56.7,20.6,425,64.5,,,,2,0,5,5,5,5,5,5,5,5,,5/24/2023 10:25:52 AM,douglas.hynes@canada.ca,5/24/2023 12:27:39 PM,douglas.hynes@canada.ca,1,1,4,,,NA,3,1010,-61.5436916666667,45.10184
32,114e6063-d75c-4aa4-bde8-219bf74b147b,5/23/2023 8:23:00 PM,1,1,"7,5",1,117661828,FAE,pink,white,,E10,-61.545011,45.102814,,,120.6,54.8,20.6,444,64.4,,,,2,1,5,5,5,5,5,5,5,5,,5/24/2023 10:26:01 AM,douglas.hynes@canada.ca,5/24/2023 12:27:39 PM,douglas.hynes@canada.ca,2,2,7,,,2,3,1050,-61.54369,45.10184
33,04c19340-2632-4b2c-b7b9-b46bae96ef59,5/23/2023 8:37:00 PM,1,1,7,1,117661829,FAK,pink,white,,E11,-61.542667,45.10109,,,131.9,60.7,22.5,443,69.9,,,,3,2,1,5,5,5,5,5,5,5,,5/24/2023 10:26:24 AM,douglas.hynes@canada.ca,5/24/2023 12:19:37 PM,douglas.hynes@canada.ca,1,1,5,,,1,3,1330,-61.5436916666667,45.10185
34,52383bde-bb47-4f1e-aa29-650c3956056e,5/23/2023 8:54:00 PM,1,1,7,1,117661831,FAJ,pink,white,,E13,-61.543745,45.103222,,,124,58.1,19.5,441,66.3,,,,3,2,1,5,5,5,5,5,5,5,,5/24/2023 10:26:52 AM,douglas.hynes@canada.ca,5/24/2023 12:19:39 PM,douglas.hynes@canada.ca,2,1,3,,,2,3,990,-61.5437,45.101855
35,121b9c7b-678a-42d2-9bfd-53a94eca3842,5/23/2023 9:27:00 PM,1,1,6,1,117661832,FAN,pink,white,,E14,-61.54243,45.10146,,,119.7,55.8,19.5,432,67.5,,,,2,0,5,5,5,5,5,5,5,5,Gsm 8,5/24/2023 10:27:21 AM,douglas.hynes@canada.ca,5/24/2023 12:27:41 PM,douglas.hynes@canada.ca,1,1,8,,,3,3,1080,-61.54369,45.10186
36,79dcb057-f402-4236-ad2c-b30eac418536,5/23/2023 9:46:00 PM,1,1,7,1,117661833,FAL,pink,white,,E15,-61.544022,45.103266,,,131.8,59.6,21.7,445,74.6,,,,1,1,5,5,5,5,5,5,5,5,,5/24/2023 10:28:02 AM,douglas.hynes@canada.ca,5/24/2023 12:27:43 PM,douglas.hynes@canada.ca,2,2,1,,,2,3,1215,-61.543685,45.1018616666667
